quarter,personal_characteristics,position_begin,position_end,number_of_persons
2003-3,Age: 45-65 years,TOTAL,unemployed,107
2003-3,Age: 45-65 years,TOTAL,non labourforce,1717
2003-3,Age: 45-65 years,employed,TOTAL,2315
2003-3,Age: 45-65 years,employed,employed,2252
2003-3,Age: 45-65 years,employed,unemployed,15
2003-3,Age: 45-65 years,employed,non labourforce,48
2003-3,Age: 45-65 years,unemployed,TOTAL,100
2003-3,Age: 45-65 years,unemployed,employed,12
2003-3,Age: 45-65 years,unemployed,unemployed,59
2003-3,Age: 45-65 years,unemployed,non labourforce,30
2003-3,Age: 45-65 years,non labourforce,TOTAL,1692
2003-3,Age: 45-65 years,non labourforce,employed,19
2003-3,Age: 45-65 years,non labourforce,unemployed,33
2003-3,Age: 45-65 years,non labourforce,non labourforce,1639
2003-3,Education level: lower,TOTAL,TOTAL,3845
2003-3,Education level: lower,TOTAL,employed,1802
2003-3,Education level: lower,TOTAL,unemployed,160
2003-3,Education level: lower,TOTAL,non labourforce,1883
2003-3,Education level: lower,employed,TOTAL,1853
2003-3,Education level: lower,employed,employed,1727
2003-3,Education level: lower,employed,unemployed,31
2003-3,Education level: lower,employed,non labourforce,95
2003-3,Education level: lower,unemployed,TOTAL,165
2003-3,Education level: lower,unemployed,employed,28
2003-3,Education level: lower,unemployed,unemployed,78
2003-3,Education level: lower,unemployed,non labourforce,59
2003-3,Education level: lower,non labourforce,TOTAL,1826
2003-3,Education level: lower,non labourforce,employed,46
2003-3,Education level: lower,non labourforce,unemployed,51
2003-3,Education level: lower,non labourforce,non labourforce,1729
2003-3,Education level: middle,TOTAL,TOTAL,4547
2003-3,Education level: middle,TOTAL,employed,3128
2003-3,Education level: middle,TOTAL,unemployed,165
2003-3,Education level: middle,TOTAL,non labourforce,1253
2003-3,Education level: middle,employed,TOTAL,3151
2003-3,Education level: middle,employed,employed,3034
2003-3,Education level: middle,employed,unemployed,32
2003-3,Education level: middle,employed,non labourforce,85
2003-3,Education level: middle,unemployed,TOTAL,154
2003-3,Education level: middle,unemployed,employed,40
2003-3,Education level: middle,unemployed,unemployed,78
2003-3,Education level: middle,unemployed,non labourforce,36
2003-3,Education level: middle,non labourforce,TOTAL,1242
2003-3,Education level: middle,non labourforce,employed,54
2003-3,Education level: middle,non labourforce,unemployed,55
2003-3,Education level: middle,non labourforce,non labourforce,1132
2003-3,Education level: higher,TOTAL,TOTAL,2451
2003-3,Education level: higher,TOTAL,employed,1970
2003-3,Education level: higher,TOTAL,unemployed,85
2003-3,Education level: higher,TOTAL,non labourforce,396
2003-3,Education level: higher,employed,TOTAL,1972
2003-3,Education level: higher,employed,employed,1926
2003-3,Education level: higher,employed,unemployed,19
2003-3,Education level: higher,employed,non labourforce,27
2003-3,Education level: higher,unemployed,TOTAL,90
2003-3,Education level: higher,unemployed,employed,31
2003-3,Education level: higher,unemployed,unemployed,44
2003-3,Education level: higher,unemployed,non labourforce,15
2003-3,Education level: higher,non labourforce,TOTAL,389
2003-3,Education level: higher,non labourforce,employed,12
2003-3,Education level: higher,non labourforce,unemployed,22
2003-3,Education level: higher,non labourforce,non labourforce,354
2003-3,Education level: unknown,TOTAL,TOTAL,64
2003-3,Education level: unknown,TOTAL,employed,46
2003-3,Education level: unknown,TOTAL,unemployed,6
2003-3,Education level: unknown,TOTAL,non labourforce,12
2003-3,Education level: unknown,employed,TOTAL,47
2003-3,Education level: unknown,employed,employed,44
2003-3,Education level: unknown,employed,unemployed,
2003-3,Education level: unknown,employed,non labourforce,2
2003-3,Education level: unknown,unemployed,TOTAL,4
2003-3,Education level: unknown,unemployed,employed,
2003-3,Education level: unknown,unemployed,unemployed,3
2003-3,Education level: unknown,unemployed,non labourforce,
2003-3,Education level: unknown,non labourforce,TOTAL,13
2003-3,Education level: unknown,non labourforce,employed,
2003-3,Education level: unknown,non labourforce,unemployed,2
2003-3,Education level: unknown,non labourforce,non labourforce,10
2003-3,Job level: elementary,TOTAL,TOTAL,553
2003-3,Job level: elementary,TOTAL,employed,488
2003-3,Job level: elementary,TOTAL,unemployed,15
2003-3,Job level: elementary,TOTAL,non labourforce,49
2003-3,Job level: elementary,employed,TOTAL,517
2003-3,Job level: elementary,employed,employed,453
2003-3,Job level: elementary,employed,unemployed,15
2003-3,Job level: elementary,employed,non labourforce,49
2003-3,Job level: elementary,unemployed,TOTAL,16
2003-3,Job level: elementary,unemployed,employed,16
2003-3,Job level: elementary,unemployed,unemployed,
2003-3,Job level: elementary,unemployed,non labourforce,
2003-3,Job level: elementary,non labourforce,TOTAL,19
2003-3,Job level: elementary,non labourforce,employed,19
2003-3,Job level: elementary,non labourforce,unemployed,
2003-3,Job level: elementary,non labourforce,non labourforce,
2003-3,Job level: lower,TOTAL,TOTAL,1773
2003-3,Job level: lower,TOTAL,employed,1660
2003-3,Job level: lower,TOTAL,unemployed,29
2003-3,Job level: lower,TOTAL,non labourforce,84
2003-3,Job level: lower,employed,TOTAL,1680
2003-3,Job level: lower,employed,employed,1567
2003-3,Job level: lower,employed,unemployed,29
2003-3,Job level: lower,employed,non labourforce,84
2003-3,Job level: lower,unemployed,TOTAL,43
2003-3,Job level: lower,unemployed,employed,43
2003-3,Job level: lower,unemployed,unemployed,
2003-3,Job level: lower,unemployed,non labourforce,
2003-3,Job level: lower,non labourforce,TOTAL,50
2003-3,Job level: lower,non labourforce,employed,50
2003-3,Job level: lower,non labourforce,unemployed,
2003-3,Job level: lower,non labourforce,non labourforce,
2003-3,Job level: middle,TOTAL,TOTAL,2753
2003-3,Job level: middle,TOTAL,employed,2688
2003-3,Job level: middle,TOTAL,unemployed,23
2003-3,Job level: middle,TOTAL,non labourforce,42
2003-3,Job level: middle,employed,TOTAL,2703
2003-3,Job level: middle,employed,employed,2638
2003-3,Job level: middle,employed,unemployed,23
2003-3,Job level: middle,employed,non labourforce,42
2003-3,Job level: middle,unemployed,TOTAL,22
2003-3,Job level: middle,unemployed,employed,22
2003-3,Job level: middle,unemployed,unemployed,
2003-3,Job level: middle,unemployed,non labourforce,
2003-3,Job level: middle,non labourforce,TOTAL,28
2003-3,Job level: middle,non labourforce,employed,28
2003-3,Job level: middle,non labourforce,unemployed,
2003-3,Job level: middle,non labourforce,non labourforce,
2003-3,Job level: higher,TOTAL,TOTAL,1470
2003-3,Job level: higher,TOTAL,employed,1441
2003-3,Job level: higher,TOTAL,unemployed,9
2003-3,Job level: higher,TOTAL,non labourforce,19
2003-3,Job level: higher,employed,TOTAL,1444
2003-3,Job level: higher,employed,employed,1416
2003-3,Job level: higher,employed,unemployed,9
2003-3,Job level: higher,employed,non labourforce,19
2003-3,Job level: higher,unemployed,TOTAL,13
2003-3,Job level: higher,unemployed,employed,13
2003-3,Job level: higher,unemployed,unemployed,
2003-3,Job level: higher,unemployed,non labourforce,
2003-3,Job level: higher,non labourforce,TOTAL,12
2003-3,Job level: higher,non labourforce,employed,12
2003-3,Job level: higher,non labourforce,unemployed,
2003-3,Job level: higher,non labourforce,non labourforce,
2003-3,Job level: scientific,TOTAL,TOTAL,581
2003-3,Job level: scientific,TOTAL,employed,567
2003-3,Job level: scientific,TOTAL,unemployed,6
2003-3,Job level: scientific,TOTAL,non labourforce,8
2003-3,Job level: scientific,employed,TOTAL,575
2003-3,Job level: scientific,employed,employed,561
2003-3,Job level: scientific,employed,unemployed,6
2003-3,Job level: scientific,employed,non labourforce,8
2003-3,Job level: scientific,unemployed,TOTAL,4
2003-3,Job level: scientific,unemployed,employed,4
2003-3,Job level: scientific,unemployed,unemployed,
2003-3,Job level: scientific,unemployed,non labourforce,
2003-3,Job level: scientific,non labourforce,TOTAL,2
2003-3,Job level: scientific,non labourforce,employed,2
2003-3,Job level: scientific,non labourforce,unemployed,
2003-3,Job level: scientific,non labourforce,non labourforce,
2003-4,TOTAL,TOTAL,TOTAL,10913
2003-4,TOTAL,TOTAL,employed,6894
2003-4,TOTAL,TOTAL,unemployed,488
2003-4,TOTAL,TOTAL,non labourforce,3531
2003-4,TOTAL,employed,TOTAL,6945
2003-4,TOTAL,employed,employed,6714
2003-4,TOTAL,employed,unemployed,99
2003-4,TOTAL,employed,non labourforce,132
2003-4,TOTAL,unemployed,TOTAL,417
2003-4,TOTAL,unemployed,employed,81
2003-4,TOTAL,unemployed,unemployed,242
2003-4,TOTAL,unemployed,non labourforce,94
2003-4,TOTAL,non labourforce,TOTAL,3551
2003-4,TOTAL,non labourforce,employed,98
2003-4,TOTAL,non labourforce,unemployed,148
2003-4,TOTAL,non labourforce,non labourforce,3305
2003-4,Gender: male,TOTAL,TOTAL,5514
2003-4,Gender: male,TOTAL,employed,4080
2003-4,Gender: male,TOTAL,unemployed,243
2003-4,Gender: male,TOTAL,non labourforce,1190
2003-4,Gender: male,employed,TOTAL,4109
2003-4,Gender: male,employed,employed,3989
2003-4,Gender: male,employed,unemployed,57
2003-4,Gender: male,employed,non labourforce,63
2003-4,Gender: male,unemployed,TOTAL,212
2003-4,Gender: male,unemployed,employed,44
2003-4,Gender: male,unemployed,unemployed,134
2003-4,Gender: male,unemployed,non labourforce,34
2003-4,Gender: male,non labourforce,TOTAL,1193
2003-4,Gender: male,non labourforce,employed,47
2003-4,Gender: male,non labourforce,unemployed,53
2003-4,Gender: male,non labourforce,non labourforce,1093
2003-4,Gender: female,TOTAL,TOTAL,5399
2003-4,Gender: female,TOTAL,employed,2814
2003-4,Gender: female,TOTAL,unemployed,245
2003-4,Gender: female,TOTAL,non labourforce,2341
2003-4,Gender: female,employed,TOTAL,2836
2003-4,Gender: female,employed,employed,2726
2003-4,Gender: female,employed,unemployed,42
2003-4,Gender: female,employed,non labourforce,69
2003-4,Gender: female,unemployed,TOTAL,205
2003-4,Gender: female,unemployed,employed,37
2003-4,Gender: female,unemployed,unemployed,108
2003-4,Gender: female,unemployed,non labourforce,60
2003-4,Gender: female,non labourforce,TOTAL,2358
2003-4,Gender: female,non labourforce,employed,51
2003-4,Gender: female,non labourforce,unemployed,95
2003-4,Gender: female,non labourforce,non labourforce,2212
2003-4,Age: 15-25 years,TOTAL,TOTAL,1929
2003-4,Age: 15-25 years,TOTAL,employed,799
2003-4,Age: 15-25 years,TOTAL,unemployed,114
2003-4,Age: 15-25 years,TOTAL,non labourforce,1016
2003-4,Age: 15-25 years,employed,TOTAL,795
2003-4,Age: 15-25 years,employed,employed,730
2003-4,Age: 15-25 years,employed,unemployed,27
2003-4,Age: 15-25 years,employed,non labourforce,38
2003-4,Age: 15-25 years,unemployed,TOTAL,80
2003-4,Age: 15-25 years,unemployed,employed,20
2003-4,Age: 15-25 years,unemployed,unemployed,36
2003-4,Age: 15-25 years,unemployed,non labourforce,24
2003-4,Age: 15-25 years,non labourforce,TOTAL,1054
2003-4,Age: 15-25 years,non labourforce,employed,49
2003-4,Age: 15-25 years,non labourforce,unemployed,51
2003-4,Age: 15-25 years,non labourforce,non labourforce,954
2003-4,Age: 25-45 years,TOTAL,TOTAL,4857
2003-4,Age: 25-45 years,TOTAL,employed,3819
2003-4,Age: 25-45 years,TOTAL,unemployed,241
2003-4,Age: 25-45 years,TOTAL,non labourforce,797
2003-4,Age: 25-45 years,employed,TOTAL,3828
2003-4,Age: 25-45 years,employed,employed,3735
2003-4,Age: 25-45 years,employed,unemployed,51
2003-4,Age: 25-45 years,employed,non labourforce,41
2003-4,Age: 25-45 years,unemployed,TOTAL,224
2003-4,Age: 25-45 years,unemployed,employed,52
2003-4,Age: 25-45 years,unemployed,unemployed,131
2003-4,Age: 25-45 years,unemployed,non labourforce,41
2003-4,Age: 25-45 years,non labourforce,TOTAL,805
2003-4,Age: 25-45 years,non labourforce,employed,32
2003-4,Age: 25-45 years,non labourforce,unemployed,59
2003-4,Age: 25-45 years,non labourforce,non labourforce,714
2003-4,Age: 45-65 years,TOTAL,TOTAL,4127
2003-4,Age: 45-65 years,TOTAL,employed,2276
2003-4,Age: 45-65 years,TOTAL,unemployed,133
2003-4,Age: 45-65 years,TOTAL,non labourforce,1718
2003-4,Age: 45-65 years,employed,TOTAL,2323
2003-4,Age: 45-65 years,employed,employed,2250
2003-4,Age: 45-65 years,employed,unemployed,21
2003-4,Age: 45-65 years,employed,non labourforce,52
2003-4,Age: 45-65 years,unemployed,TOTAL,112
2003-4,Age: 45-65 years,unemployed,employed,9
2003-4,Age: 45-65 years,unemployed,unemployed,75
2003-4,Age: 45-65 years,unemployed,non labourforce,28
2003-4,Age: 45-65 years,non labourforce,TOTAL,1692
2003-4,Age: 45-65 years,non labourforce,employed,17
2003-4,Age: 45-65 years,non labourforce,unemployed,38
2003-4,Age: 45-65 years,non labourforce,non labourforce,1637
2003-4,Education level: lower,TOTAL,TOTAL,3816
2003-4,Education level: lower,TOTAL,employed,1747
2003-4,Education level: lower,TOTAL,unemployed,196
2003-4,Education level: lower,TOTAL,non labourforce,1873
2003-4,Education level: lower,employed,TOTAL,1768
2003-4,Education level: lower,employed,employed,1679
2003-4,Education level: lower,employed,unemployed,39
2003-4,Education level: lower,employed,non labourforce,50
2003-4,Education level: lower,unemployed,TOTAL,156
2003-4,Education level: lower,unemployed,employed,28
2003-4,Education level: lower,unemployed,unemployed,88
2003-4,Education level: lower,unemployed,non labourforce,40
2003-4,Education level: lower,non labourforce,TOTAL,1891
2003-4,Education level: lower,non labourforce,employed,40
2003-4,Education level: lower,non labourforce,unemployed,69
2003-4,Education level: lower,non labourforce,non labourforce,1783
2003-4,Education level: middle,TOTAL,TOTAL,4514
2003-4,Education level: middle,TOTAL,employed,3086
2003-4,Education level: middle,TOTAL,unemployed,185
2003-4,Education level: middle,TOTAL,non labourforce,1242
2003-4,Education level: middle,employed,TOTAL,3109
2003-4,Education level: middle,employed,employed,3013
2003-4,Education level: middle,employed,unemployed,40
2003-4,Education level: middle,employed,non labourforce,56
2003-4,Education level: middle,unemployed,TOTAL,163
2003-4,Education level: middle,unemployed,employed,31
2003-4,Education level: middle,unemployed,unemployed,94
2003-4,Education level: middle,unemployed,non labourforce,38
2003-4,Education level: middle,non labourforce,TOTAL,1241
2003-4,Education level: middle,non labourforce,employed,42
2003-4,Education level: middle,non labourforce,unemployed,51
2003-4,Education level: middle,non labourforce,non labourforce,1148
2003-4,Education level: higher,TOTAL,TOTAL,2517
2003-4,Education level: higher,TOTAL,employed,2010
2003-4,Education level: higher,TOTAL,unemployed,102
2003-4,Education level: higher,TOTAL,non labourforce,405
2003-4,Education level: higher,employed,TOTAL,2018
2003-4,Education level: higher,employed,employed,1974
2003-4,Education level: higher,employed,unemployed,19
2003-4,Education level: higher,employed,non labourforce,26
2003-4,Education level: higher,unemployed,TOTAL,92
2003-4,Education level: higher,unemployed,employed,21
2003-4,Education level: higher,unemployed,unemployed,56
2003-4,Education level: higher,unemployed,non labourforce,15
2003-4,Education level: higher,non labourforce,TOTAL,407
2003-4,Education level: higher,non labourforce,employed,16
2003-4,Education level: higher,non labourforce,unemployed,27
2003-4,Education level: higher,non labourforce,non labourforce,364
2003-4,Education level: unknown,TOTAL,TOTAL,67
2003-4,Education level: unknown,TOTAL,employed,50
2003-4,Education level: unknown,TOTAL,unemployed,5
2003-4,Education level: unknown,TOTAL,non labourforce,11
2003-4,Education level: unknown,employed,TOTAL,50
2003-4,Education level: unknown,employed,employed,48
2003-4,Education level: unknown,employed,unemployed,
2003-4,Education level: unknown,employed,non labourforce,
2003-4,Education level: unknown,unemployed,TOTAL,5
2003-4,Education level: unknown,unemployed,employed,
2003-4,Education level: unknown,unemployed,unemployed,4
2003-4,Education level: unknown,unemployed,non labourforce,
2003-4,Education level: unknown,non labourforce,TOTAL,12
2003-4,Education level: unknown,non labourforce,employed,
2003-4,Education level: unknown,non labourforce,unemployed,
2003-4,Education level: unknown,non labourforce,non labourforce,10
2003-4,Job level: elementary,TOTAL,TOTAL,541
2003-4,Job level: elementary,TOTAL,employed,500
2003-4,Job level: elementary,TOTAL,unemployed,17
2003-4,Job level: elementary,TOTAL,non labourforce,24
2003-4,Job level: elementary,employed,TOTAL,505
2003-4,Job level: elementary,employed,employed,464
2003-4,Job level: elementary,employed,unemployed,17
2003-4,Job level: elementary,employed,non labourforce,24
2003-4,Job level: elementary,unemployed,TOTAL,14
2003-4,Job level: elementary,unemployed,employed,14
2003-4,Job level: elementary,unemployed,unemployed,
2003-4,Job level: elementary,unemployed,non labourforce,
2003-4,Job level: elementary,non labourforce,TOTAL,23
2003-4,Job level: elementary,non labourforce,employed,23
2003-4,Job level: elementary,non labourforce,unemployed,
2003-4,Job level: elementary,non labourforce,non labourforce,
2003-4,Job level: lower,TOTAL,TOTAL,1707
2003-4,Job level: lower,TOTAL,employed,1628
2003-4,Job level: lower,TOTAL,unemployed,34
